gausah banyakbanyak update minyang aneh gabisa digunakan	negative
hello after update this feel more and more bugs are happening like when playing video its getting so long cant wait for it hope you guys fix it soon	neutral
good	positive
menu akun pilihan keluarlog out	negative
salah satu media sosial terbaik memberikan informasi	positive
mudah gunakan donload jg cepat	positive
bagus	positive
peringatan keluar terjadi kesalahan seminggu sehari peringatan akhirnya keluar gimana	negative
muterwae	positive
okelah	positive
aplikasihnya bagus bermanfaat skali	positive
baik	positive
masalah pakek limit segala gak seseru	negative
aplikasiii taeeee kicing	negative
game bagus jampshoot	negative
gooegl	positive
twitterku ga dibuka kalau buka keluar min	positive
kebanyakan limit	negative
like	positive
ko sllu ajnmuncul iklannya	negative
bagus	positive
woi napa liat video kagak puter loading mulu	negative
gatau knp scrol bawah langsung atas	negative
bagus karna lihat bkp	positive
mantap	positive
jelek	negative
ga akun	negative
utk pemutaran video tingkatkan pohh lemot cakk	negative
nih knp daftar akun baru pakai ngk pakai segala macam ngk perbaiki biar ngk terjadi kek ginian	negative
gak daftar kode dinasukkin bener	negative
log out sihh	negative
ga download	negative
great	positive
knp scorll kebawah atas capeaying balik bawah	negative
video foto ga dilihat loading terlalu lama	negative
cobain	positive
nice	positive
oke	negative
another day	positive
bagus sukaaaaa	positive
suck	negative
cukup baik	positive
baik	positive
bgus	positive
terhenti mulu buka akhirnya uninstall download susah bener wifiii	negative
teramat bagus	positive
mantap	positive
bagus	positive
okkkkkkkkkk bo	positive
tingkatkan	positive
nice	positive
login susah minta konfirmasi segala dikirim snsnya nih langsung uninstall	negative
mntap	negative
menghibur	positive
menerima kode verifikasi	negative
acc gue ga spacee kadang ngeri dilirik jeki	positive
mw login ribet bangsd	negative
luar bisasa	positive
bagus sekalisemua	positive
dong semua kebanyakan nge kritik scrool tiba tiba naik keatas sumpah mengesalkan jauh ngescrool bawah tiba tiba naik keatas pusing	negative
ea	positive
ditingkatkan biar baik	positive
orang normal paham orangnormalpaham	positive
hallo kecewa atas kejadian alami akun tibatiba dikunci sulit mendapatkan verifikasi lewat ponsel kejadian bukan kejadian paling membuat kesal pasalnya berharihari penanganan tiga kali pengaduan arahan akun dikunci melanggar aturan tampakan tersebut postingan kebanyakan olahraga	negative
akun njir bener nomer rusak	negative
bagus cih	positive
problem that needs to be fixed is matter of video playback very often when playing a video loading takes a long time and also cant be played at all please pay attention to	negative
gat	positive
update tampilannya semakin bagus menarik dilihat	positive
erlinus	positive
kurang ngerti cara make wkwk	positive
bagus	positive
aplikasinya baguss	positive
suka suka liat bagus	negative
beda	negative
nobar bola	positive
like ikuti hilang	negative
top	positive
jelek	negative
akurat terpercaya	positive
bgs	positive
puas	positive
nonton bokep	positive
error	neutral
top	positive
bagus	positive
woyyyy mana kode verifikasinya	negative
kecewa	positive
tambahpengetahuan	positive
bagus aplikasinya	positive
good	positive
ente kadangkadang ente developer gimana woi salah disana nyaa belakang login persulit jancokkkkkkkkkk ga kaya gini gampang login parah dah parahhh maaf renting pucing dah pucing	negative
semenjak elon jelek	negative
bagus	positive
gtw	positive
semenjak cf berasa ga punya temen circle friend mending fleet bagus	negative
engga usah nyusahin anjirrr	negative
kode otp masuk pencet kirim ulang kali download masuk tambahin fitur pesan masuk lewat gmail	negative
bgus kek curhat gtu	positive
space baru ga balik	neutral
login masukin bener berkali tetap gak ganti hari tetep	negative
yhahahaha	negative
tks by pioneer	positive
jangan download	negative
tato	positive
pemutaran video buruk	negative
number one	positive
baru dibuka suspend kena gak tahik gak ngelanggar standar komunitas apapun kena suspend gobloggg	negative
its good	positive
jangan terlalu lebay asw salah masukin pw × langsung curiga berat	negative
tlnya burik bagusan	negative
bad	negative
bagus aplikasinya tp akhir ni eror	negative
gak bagus	positive
knp ny g bs tampil d layarklu bk twiter hrs d play stor pdhl sy donlod	negative
tampilan versi baru jelek kayak fb	negative
sialan iklannya masuk orang sembarangan	negative
ga berguna	negative
recommended	positive
luar biasa	positive
entar gampang kalau lancar heee	positive
ribet bngt mw masukin akun	negative
keren	positive
karna beli elon mars	positive
bagus mencari info	positive
konmtol	negative
mantap	positive
yes	positive
jelek	negative
cool	positive
media sosial paling sukai karna netral membahas politik maupun masalah sosial terjadi masyarakat indonesia maupun dunia	positive
keren enak nyambat	positive
keceeee	positive
pemuda‍ pancasila hack hingga crash parah puyeng pala akuh mantengin akun doi🧍	positive
baik	positive
kasi dl so baru	positive
kontool	negative
pelayananmu mengecewakan	negative
very satisfy	positive
raiso daftar	negative
gabisa download	negative
baik	positive
taiii	negative
aplrikasi bagus baca berita dn luar negeri dn conten menarik lainnya	positive
keren	positive
jeki km hrus bertobat	neutral
okok	positive
puas	positive
semoga bermampaat	negative
nice	positive
akun kekunci susah bukanya gara salah ketik tahun lahir	negative
suka	positive
mayan	positive
semoga semakin baik memberikan manfaat	positive
akun kena limit jadinya liat sedang terjadi dunia	negative
parah bug	negative
suka dng twiter	positive
gak akun sya tangguhkan	negative
mas elon musk duit dong jt	positive
good	positive
follow solkuahcoto	positive
recommended nice	positive
jelek video putar foto nyadi update perubahan mohon perbaiki	negative
susah login	negative
semoga mbantu	positive
oke bagus	positive
bagus	positive
berkali daftar gabisaaa kecewa bngt pdhl berharap bkn thread	negative
baik	positive
nice	positive
elon musk is my idol	negative
good	positive
cukup seneng	positive
kode masuk benar pulsa pihak mabok stress tolol	negative
akun sy engak nisa twiter	positive
error gimana akun ku ga login bahkan kaya akun baru ga kaya ga koneksi pdhl sinyal ku lancar	negative
keren app	positive
lama ga mana lemot jaringan bagus suka keluar dongkol	negative
bad after a lot of updates it gets ugly bugs often occur opening takes a long time like there is connection hope you guys dont add another feature but fix this first please return to its former state where bugs have occurred	negative
melihat fakta nyata	positive
update tambah lama tambah jelek daftar gagal ga masuk nerima kode keluar penerimaan katakan ga telpemail dah telp gmail tetep ga jawabannya mendaftarkan emailno ponsel nih sampe hapalin saking keselnya bener deh ge kecewa update tambah lama tambah jelek dah kesel	negative
kebnykan iklan	negative
suka bug	negative
satu download	positive
jelek	negative
good	positive
keren abis	positive
ruwet ae	negative
jelek updatesemakin buruk semakin buruk	negative
why can likes provide disappear on posts that like im disappointed	negative
gua kasi karna kasian	positive
alasan akun tangguhkan	negative
sebenernya kurang ngerti mainnya but its	positive
sosial media paling keren	positive
filmdewasa xxxy	negative
eita	positive
keren	positive
wah pak insinyurnya gagal perbaikan update bukannya bagus ngga buka jadinya	negative
slalu memberi info update	positive
baru download buka aplikasinya suruh update plis twt balik kayak ngikutin ga istimewa lu	negative
aplikasinya berguna masak tunggu lama sms	negative
kya tweter beda instagram ngga sesuai tiktok nyaman whatsapp	positive
mantaappp	positive
membantu	positive
bagus	negative
sejak dikomersialkan usernya dijadikan alat jual beli berlalih menggunakan bluesky buatan si pencipta	negative
tweet dahkok error ginikatanya gabisa update gttrs bnyk kendala nydeveloper dongini gimana	negative
kode verifikasi notif kemarin ga pesan masuk perbaiki terimakasih	neutral
emm	negative
terimakasih kerena memudahkan sy menyalurkan hawa nafsu sy mudahnya menonton bop	positive
veryy good	positive
lumayan informatif	positive
specialluvkirain tahun paling menyedihkan eh ternyata parahsszxxzz	positive
membeli gak pernah kecewa	positive
gini klo masuk balik update	negative
gak suka	negative
puas adanya	negative
kalau baca au suka riset buatin fitur baca tetap	neutral
oke	positive
bagus anak ngurung diri kamar biasa ny keluaran skrng main rmh sajaterutama kamar nyaterima tweeter anak nggk keliaran	positive
good	positive
kebijakan dibatasin doyan baca au scrollscroll ga mantengin fanbase jd parno main	negative
selamat malam menjadi mudah membuat sebuah	negative
nice	positive
like it	positive
beberapa kali up lama loadingnya wifi maupun data seluler sinyalnya bagus foto video loading lama nunggu lancar	neutral
suka suka iklan stop iklan	negative
thx twit akhirnya menonton bokp coret dr kk	positive
mantabs	positive
mantap	positive
oke	positive
kode verifikasi gaada yh	negative
boong download ga daftarga nerima verivikasipdhl akun baru	negative
buruk	negative
yah login kluar salah	positive
bug tolol kaga	negative
lemott	negative
gini masalah sistem operasi bug sebuah masalah teknis seringkali menjengkelkan pengguna developer kamu seorang programmer kamu perlu mengenal berbagai jenis bug cara mengatasinya bahasa inggris ‘ bug ‘ berarti serangga kecil mengganggu lingkup software development sebuah bug seringkali digunakan menyebut masalah kecil mengganggu berja	positive
udel	positive
bagus bagat	positive
daftar susah lol segala cara gua ikutin gak masuk gua daftar lite langsung masuk semakin gak laku bgtu cara	negative
bagussss bgtttt	positive
gampang kunci	neutral
bagus ngebokep	positive
gokil	positive
very good	positive
tweetititstutszs	positive
hari kelakuan makanin akun req dm lambat	neutral
aplikasijelllkkeeeeeeekasholeeeeeeee	negative
kick off elon	negative
nyesel update rusak baca thread autoscroll kepala thread mulu secepatnya perbaikiiii ga nyaman kesel pengen uninstal ihhhhhhh	negative
jelek	negative
masuk persulit	negative
mantab	positive
update bug menggangu scrol beranda orang tiba tiba awal	negative
lu punya lu punya kuasa	negative
memberikan info uptodate	positive
tolol akun ribet email email gausah telepon jg dong kode verif tahun ga bakalan pakek telepon heran sukses ngirim kode verifikasi telepon lelet	negative
anak mana nih suaranya awww malu bingit	positive
diinstall gimana nihhh	negative
gudddd	positive
ga jls	negative
sy baru download	positive
pemalaman mengajak semua grup saling mengenal saling berbagi informasi sebagay ketuwa persahabatan bandar lampung selamat hari ulang tahun semoga bersahabat saling menghargai amin	negative
burik banh	positive
keren	positive
keren	positive
sus video forno	negative
complaints for new updates many threads are missing or say unavailable even though author didnt delete or hide thread when scrolling it suddenly updates automatically and tweets go back to top even though there are still many tweets at bottom that have not been read and these two things are really annoying if wants to test newest feature please make sure feature doesnt change previous feature its really annoying	negative
chanyeol lo dmnaa	positive
bagus	positive
diskriminatif sepantasnya	negative
mantap	positive
lh anj w buka mlhn kluar sndri si why update bukan ny nmbh bagus mlh nmbh buggg tll	negative
mendapatkan pegalaman kerja	positive
sayangilah keluarga rumah	positive
pagi rusak	negative
hi update buka aplikasinya keluar diperbaiki akun twt penting	negative
gak lengkap	negative
baru kecewa berat akunku kunci alasan memenuhi kategori umur isi kelahiran artinya umur balikin akun	negative
cukup baguss	neutral
lemot sinyal bagus	negative
tweet dr mutual jarang muncul	positive
alhamdulillah dgn adanya tweeter puasa bulan ramadhan berjalan lancar	positive
lumayan	negative
ditangguhkan melulu akun gua gajelas sumpah ni capek blok akun terusgw ga spam ga ngapa in tangguhkan lama tambah dikit main twutter kalau gini	negative
login error mulu moms actually gua download liat rifaiju doang si	positive
susah kali daftar akun ppq telepon kode gak	negative
top dah	positive
mantap	neutral
kesalah teknis ga login	negative
wah bagus suka	positive
turunkan update versi terbaru gak tampilan dm alias hilang why	negative
good aplication	positive
twitterko nulis status gagal	neutral
pm q	negative
bagus apknyaaku punya temen	positive
good	positive
instal	negative
bagus	positive
kalau nonton video lelet	negative
d ue je pe y	neutral
good	positive
cukup baik	positive
bug mungkin klo perbaiki lg tambah baik lg	positive
lawak gabisa login menambahkan nomer telepon	negative
knp login tautin sms code konfirmasi jadinya login	negative
mohon respon donk knpa akun n masukkan tp gak gt	negative
toddd	negative
mantap semakin depan	positive
biasa ga ush alay dehh	negative
mohon dibagusin lg	positive
uu	positive
gabisa didownload hari lalu	negative
mkch	neutral
mendaftar gagal	negative
lemot server down	negative
tunggu masukmasuk kode verifikasi akun susah	negative
keren	positive
masalah gambar video ga dilihat enakan	negative
mengangu ak main game tba tba ad iklan ಠʖಠ	negative
used to be coolest app now its a trash app haha ​​i hope this app gets even worse	negative
spam boot diberantas	positive
bagus menambah teman wawasan	positive
apknya baguuuus	positive
masuk doang susah kode lewat sms eh telfon gada suara ulangi gak kacau ni	negative
nonton postingan video lemot jaringan lancar	negative
lumayan bagus	positive
gak	negative
good	positive
teteo ngebug	negative
app bagus nonton bokep sensor	positive
senang	positive
emailno bener ga sms kode masuk	negative
bagus	positive
okelah	positive
tolongini ga liat sedang trending	negative
bad	negative
bagus bermanfaat pastinylima sdh cukup	positive
baik gakbaik gakbaik lahmasak enggak	positive
like	positive
kerenn bagusss	positive
gajelas	negative
ye kali ga login akun	negative
mantap	positive
login susah kode ny kekirimgk	negative
bagus	positive
top	positive
napa bayak ikalan lu	positive
twitterfakecopyrights	negative
sampah	negative
b	negative
bagus	positive
app jelek gak login bener	negative
nomer segala email gitu ngasih nomer tempat ku gak sinyal tau	negative
mantao	positive
smenjak dipegang babang ilon mask jd eror bug	negative
bagus	positive
lemot buka yt lancar ni loading gambar lama	negative
kebutuhan informasi rekreasi terpenuhi dgn	positive
jelek buffering	neutral
aneh x account dikit kena suspend makinnn aneh	negative
bingung	positive
will never be replaced	positive
semogga membantu proses perjuangn ku trmksh	positive
bergunawan	positive
fakbitj	negative
mantaapp	positive
good	positive
nice app	positive
bagus	positive
great love	positive
daftar akun why	negative
good	positive
like	positive
good	positive
suka mati otomatis yah	positive
baik membuat terra	positive
ngapain beli iklan mulu	negative
lama ih	negative
gak seru dibatasin	negative
sus	positive
mantap	positive
coment	positive
senang	positive
download	negative
ntapp	positive
oke	positive
semoga dipertahankan	positive
please add feature custom folder for managing bookmarks list	positive
cukup memberi info hiburan	positive
nice app	positive
nice	positive
very good app	positive
ngakunya orang open minded nyatanya otaknya cuman sebesar biji bapack kao isinya halhal mesum bermoral semoga segera dibanned	negative
suka kadangkadang hehe	positive
gitu	positive
hei kau asal mengangguhkan permanen pernah melakukan apapun akun ku maksud mu mendownload login game	neutral
mantap	positive
traash	negative
mantap membantu informasi terkini	positive
mantap	positive
suka melihat postingan bangtan tiap hari	positive
bingung cara pkainya lama	negative
bagus	positive
aplikasih keren	positive
bagus	positive
jelek	negative
ko bof serang	positive
jos	positive
ko sekaranh keluar sendri	negative
tiba kehapus yah	negative
bad	negative
bagus	positive
iklannya	negative
cukup bagus	positive
filter content kurang	positive
dimas anjai mabar profesional sonal slebew	positive
baik	positive
good	positive
oke	positive
suka	positive
semoga mempererrat persaudaraan	positive
tololll njingg iklan mulu hape guabdebahhbodohh	negative
lumayan bagus loading terlalu lama	positive
logo burung biru jangan diganti anj	negative
login pajang playstoreappstore bagus hapus	negative
putar video lemot lama ga buka buka jarimgan stabil stream video apps	negative
bagus	positive
baik	positive
daftar susah tinggal login telepon bener tulisan mendaftarkan telepon	neutral
gaada bokep	negative
bngsat	negative
burik ganggu iklan ja parak menang gua langsung iklan	negative
game is good and fun really like game	positive
karna army	negative
makasih grgr main jdi ga jomblo gua	positive
kirain doang permasalahan scroll	negative
login	negative
mantap	positive
pemutar video gagal	negative
scrollup mengganggu	negative
bravo	positive
makasih	positive
gbisa daftar gjls	negative
ksh lama soalnya gak twitternya	negative
ckp puas	positive
lalot	negative
bagus	positive
gmna abis update scroll up wktu baca coment trus wktu scroll timeline jg tweet org tiba ilang entah disengaja emg hasil update baru g tau dah intinya nyaman	negative
semakin lemot	negative
update lambat loading foto gagal buka sosmed lancarlancar	negative
eror gbs login	negative
biar bicara	neutral
yyy	positive
fitur terbaru tampilan jelek suka tampilan lama	negative
bebas tajam terpecaya	positive
login pubg lewat pubgnya ga mungkin bermasalah krna baru download dijelaskan	negative
mata duitan	negative
dah donload bagus suka	positive
mantap	positive
penting berubah minimal mencapai tujuan	positive
memang sosmed bersilaturrahmi	positive
kayak keluhan laninya	negative
payah gabisa terima kode verifikasi	negative
masalah pemutaran	neutral
wr	negative
ngelek mulu masaa	positive
punya akun semua gak log in	negative
nice	positive
beres	positive
🦾	positive
bagus	negative
mantap	positive
pusing tw kunci	negative
dahlah ne ribet	negative
bagus sanga populer	positive
bagus	positive
okay	positive
membantu dlm berhalu	positive
tiga dul yasangat memuaskan suara gambar bagus berita menarek ter axtual	neutral
daftarnya susah eror masukin	negative
bodoh ga login	negative
semenjak sy pinjem adek sy nonton hentai sy jdi kena omel plss tpi sknrg terobses film porno cara adek tdk obses dngn flm porno gmn	negative
logo x jlk	negative
jelekkk scroll twt dibatasi	negative
keren	positive
very bad	negative
baguss bug pakai kunci orientasi kebalik balik gitu nah keluar hitam layarnya berberapa detik fiks bugnya	positive
mantap	positive
mantep	positive
tambah lama jd tambah sampah login susahnya minta ampun	negative
awal melihat foto perbaiki	negative
gak setel pengaturan bahasa diganti ttp bahasa inggris perbaiki min	positive
dimata orang melihat informasi berita dimata handal sebuah situs biru	positive
jelek ni server wkwk loading fotovideo berasa download game bergiga gitu mnurut ni sosmed pling troptimalisasi pngalaman scrooling refresh rate berasa hz	negative
kurang pit nih	negative
m	positive
bisdi pakai daftar beberapa kali jelek	negative
akun kunci emang salahku mana	negative
verifikasi berguna	negative
oke	positive
susah daftar	negative
keren	negative
jlek	negative
bagus	positive
dah males	negative
bgs	positive
jadilah terbaik terdepan mencapai tujuan smart bersama app	positive
gajelas mangkin aneh	negative
good	positive
mantab	positive
opsial	positive
mohon cepat perbaiki	neutral
bagus	positive
gud	positive
bgussd bngt ny loh	positive
knp ga y pdhl memo bersih	negative
good	positive
update lamaaaaa dalemnya video gy wkwkwkwkwkwk	positive
baguss	positive
bagus	positive
melakukan pelanggaran tetap ditangguhkan akun lelah memperbaiki akun membuat akun digunakan tetap kena perbaiki sistemnya melakukan bisnis membuat akun berinteraksi kawankawan sulit semenjak adanya penangguhan	negative
kayak dark weeb sumpah	negative
bagus perlukan menambah informasi wawasan	positive
komen sihh	positive
ban ban vidio porn	negative
paling	negative
perbaiki bestie masa foto ga napa kena copyright watermark men	negative
update error scroll kebawah twit paling atas segera diperbaiki	negative
lama code verifikasi telepon	neutral
memudahkan mencari link	positive
buka	negative
bagus	positive
so good and fantastic and amaizing sm entertainment for years old years old	positive
susah bngt login pdhl masukin ny tpi ngg masuk kode ny	negative
mantap	positive
susah masuk	negative
applikasi ruwetmasuk akun bisangasih nmr jg bnarhapus applikasi inigk memudahkan pengguna	negative
update mulu	positive
lemot	negative
mantap	positive
aneh tiap buka komen scroll atas mulu	negative
jelek daftar susah	negative
pomon	positive
abis update crash ngeselin	negative
tolol akun akun berhasil masuk eh logout login gabisa pke gila kali	negative
mantap	positive
wujud revolusi media menjamin kebebasan orang menyampaikan pendapatnya	positive
jelek aplikasinya gak buka	negative
cukup zin	negative
not good	negative
good	positive
hapus akun karna tangguh kan suruh aju banding biar balik ngomong gak karna km melanggar asu	negative
paling up to date	positive
vote mobs copper golemmm oct	positive
oke	negative
baru bug mungkin beta downgrade versi sebelumnya	positive
app is getting worse and now you have to pay hmmzz	negative
sayangnya berhenti gitu bang freak dah	negative
mantap	positive
ga log in yaa kesalahan jaringan pdhal pakw wifi bgtu	positive
asik nonton bokep	positive
rating jelek akun suspend butuh berbulan sembuh gak dipake spam berbau sara ato pornografi aneh	negative
aang	positive
dah liat foto video loading lamaaaaa bener jaringan bagus sinting emang	negative
app jelekkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk	negative
foto profil foto latar belakang aq hilang dasar developer bluk	negative
ck	negative
menuliskan ponsel benar kode verifikasi datang	negative
ribetmasa akun susah masuknyadulu blum kya gini langsung knapa ga	negative
tempat mengeluh orang mengenalku tau	positive
yuk ngobrol	positive
heran scroll knp tiba halaman awal pdhl update mohon perbaiki	negative
bermanfaat	positive
cant open image when click image or video its always force close fix it	negative
bagus ajaa	positive
g akun dicoba berulg ulg	negative
filem sex kusus keluarga	positive
baik	positive
domba saki	negative
hancur tampilannya	negative
bagus	positive
ngeleg g nyaman perbaiki lgy	neutral
kereen	positive
wok it nonton bokeb	positive
membantu	positive
verry goodsenang bersosmed teman	positive
bagus jangan galak dikit suspend	positive
gue suka paporit gue moga maju	positive
suka main twt font ganti kekkk aneh gitu ngeliatnya asli dah	positive
halo min benar meng verivikasi kan mohon bantuannya	neutral
keren abiss	positive
ga ngebosenin	positive
berguna	positive
lma jempol lma sekedar info kalau daftar pakai akun gogele	positive
up date info	positive
tampilan beranda profil menarik membuat jenuh bosan informasi disampaikan diterima baik pengguna terimakasih	positive
mengikuti akun oranglain menikmati klik suka postingannya ga menangguhkan akun	negative
mantap	neutral
asik	positive
asik bokep	negative
vidio prpanjang durasinya	neutral
jalani hidup air mengalir mengisi celah celah rendahbersyukur berdoabekerjaberilmuberbagi semua mahluk	positive
kira jaringan bermasalah test lancar ternyata emang abis update parah	negative
update semakin lelet jelek dah	negative
bug	negative
suka	negative
menggunakan mengetahui kabar berita publikuntuk menambah pengetahuan	positive
g	negative
tambah ilmu media belajar	positive
jeki jaga rahasia gue	positive
bermanfaat informasi terkini	positive
bagus	positive
baru nyoba soalnya	neutral
parah gak baca twit gak balas twit video useless app	negative
